"id" "reward" "parameter.algorithm"
"0" "SmlK" 0.000158128
"0" "MedK" 0.00063193
"0" "LrgK" 0.000158278
"1" "SmlK" 0.246753247
"1" "MedK" 0.25
"1" "LrgK" 0.248847926
"10" "SmlK" 0.246753247
"10" "MedK" 0.0099609
"10" "LrgK" 0.025796554
"11" "SmlK" 0.246753247
"11" "MedK" 0.0099609
"11" "LrgK" 0.025796554
"12" "SmlK" 0.246753247
"12" "MedK" 0.0099609
"12" "LrgK" 0.025796554
"13" "SmlK" 0.246753247
"13" "MedK" 0.158113883
"13" "LrgK" 0.248847926
"14" "SmlK" 0.246753247
"14" "MedK" 0.25
"14" "LrgK" 0.248847926
"15" "SmlK" 0.000158128
"15" "MedK" 0.00063193
"15" "LrgK" 0.002515293
"16" "SmlK" 0.007872963
"16" "MedK" 0.00063193
"16" "LrgK" 0.010027036
"17" "SmlK" 0.246753247
"17" "MedK" 0.158113883
"17" "LrgK" 0.025796554
"18" "SmlK" 0.000158128
"18" "MedK" 0.00063193
"18" "LrgK" 0.025796554
"19" "SmlK" 0.246753247
"19" "MedK" 0.158113883
"19" "LrgK" 0.025796554
"2" "SmlK" 0.007872963
"2" "MedK" 0.0099609
"2" "LrgK" 0.025796554
"20" "SmlK" 0.246753247
"20" "MedK" 0.0099609
"20" "LrgK" 0.025796554
"21" "SmlK" 0.246753247
"21" "MedK" 0.25
"21" "LrgK" 0.064947206
"22" "SmlK" 0.000158128
"22" "MedK" 0.0099609
"22" "LrgK" 0.025796554
"23" "SmlK" 0.246753247
"23" "MedK" 0.063154042
"23" "LrgK" 0.025796554
"24" "SmlK" 0.246753247
"24" "MedK" 0.158113883
"24" "LrgK" 0.025796554
"25" "SmlK" 0.246753247
"25" "MedK" 0.158113883
"25" "LrgK" 0.00866082
"26" "SmlK" 0.246753247
"26" "MedK" 0.158113883
"26" "LrgK" 0.064947206
"27" "SmlK" 0.246753247
"27" "MedK" 0.25
"27" "LrgK" 0.248847926
"28" "SmlK" 0.246753247
"28" "MedK" 0.158113883
"28" "LrgK" 0.248847926
"29" "SmlK" 0.159084963
"29" "MedK" 0.00063193
"29" "LrgK" 0.002515293
"3" "SmlK" 0.246753247
"3" "MedK" 0.158113883
"3" "LrgK" 0.025796554
"30" "SmlK" 0.007872963
"30" "MedK" 0.0099609
"30" "LrgK" 0.025796554
"31" "SmlK" 0.000158128
"31" "MedK" 0.000158278
"31" "LrgK" 0.000158278
"32" "SmlK" 0.246753247
"32" "MedK" 0.00063193
"32" "LrgK" 0.002515293
"33" "SmlK" 0.246753247
"33" "MedK" 0.25
"33" "LrgK" 0.248847926
"34" "SmlK" 0.246753247
"34" "MedK" 0.158113883
"34" "LrgK" 0.248847926
"35" "SmlK" 0.246753247
"35" "MedK" 0.0099609
"35" "LrgK" 0.010027036
"4" "SmlK" 0.246753247
"4" "MedK" 0.158113883
"4" "LrgK" 0.025796554
"5" "SmlK" 0.000158128
"5" "MedK" 0.000251282
"5" "LrgK" 0.000158278
"6" "SmlK" 0.246753247
"6" "MedK" 0.009995844
"6" "LrgK" 0.025796554
"7" "SmlK" 0.000158128
"7" "MedK" 0.009995844
"7" "LrgK" 0.002515293
"8" "SmlK" 0.246753247
"8" "MedK" 0.158113883
"8" "LrgK" 0.248847926
"9" "SmlK" 0.000251196
"9" "MedK" 0.000158278
"9" "LrgK" 0.000158278
