,battery_name,block_duration,choice,exp_id,exp_stage,experiment_exp_id,finishtime,focus_shifts,full_screen,internal_node_id,key_press,large_amt,later_del,possible_responses,responses,rt,small_amt,stim_duration,stimulus,time_elapsed,trial_id,trial_index,trial_type,view_history,worker_id
kirby_0_0,Self Regulation Pilot,,,,,kirby,2016-04-08T17:28:06.852787Z,,,0.0-0.0-0.0,13,,,,,4860,,,,4876,instruction,0,poldrack-text,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_1,Self Regulation Pilot,,,,,kirby,2016-04-08T17:28:06.852787Z,,,0.0-0.0-1.0,,,,,,20928,,,,25804,instruction,1,poldrack-instructions,"[{""page_index"":0,""viewing_time"":20928}]",175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_2,Self Regulation Pilot,,,,,kirby,2016-04-08T17:28:06.852787Z,,,0.0-1.0,13,,,,,4553,,,,31386,practice_intro,2,poldrack-text,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_3,Self Regulation Pilot,5386,,,practice,kirby,2016-04-08T17:28:06.852787Z,,,0.0-2.0,80,,,"[80, 81]",,5386,,5386,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$20<br>today</font></center></div><div id = 'option'><center><font color='green'>$25<br>5 days</font></center></div></div></div></div>,37787,stim,3,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_4,Self Regulation Pilot,,,,,kirby,2016-04-08T17:28:06.852787Z,,,0.0-4.0,13,,,,,2640,,,,41433,test_intro,4,poldrack-text,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_5,Self Regulation Pilot,4825,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-0.0,81,55,117,"[80, 81]",,4825,54,4825,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$54<br>today</font></center></div><div id = 'option'><center><font color='green'>$55<br>117 days</font></center></div></div></div></div>,47268,stim,5,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_6,Self Regulation Pilot,2381,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-1.0,80,75,61,"[80, 81]",,2381,55,2381,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$55<br>today</font></center></div><div id = 'option'><center><font color='green'>$75<br>61 days</font></center></div></div></div></div>,50666,stim,6,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_7,Self Regulation Pilot,3090,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-2.0,80,25,53,"[80, 81]",,3090,19,3090,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$19<br>today</font></center></div><div id = 'option'><center><font color='green'>$25<br>53 days</font></center></div></div></div></div>,54762,stim,7,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_8,Self Regulation Pilot,2477,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-3.0,80,85,7,"[80, 81]",,2477,31,2477,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$31<br>today</font></center></div><div id = 'option'><center><font color='green'>$85<br>7 days</font></center></div></div></div></div>,58241,stim,8,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_9,Self Regulation Pilot,1562,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-4.0,80,25,19,"[80, 81]",,1562,14,1562,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$14<br>today</font></center></div><div id = 'option'><center><font color='green'>$25<br>19 days</font></center></div></div></div></div>,60820,stim,9,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_10,Self Regulation Pilot,2723,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-5.0,81,50,160,"[80, 81]",,2723,47,2723,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$47<br>today</font></center></div><div id = 'option'><center><font color='green'>$50<br>160 days</font></center></div></div></div></div>,64554,stim,10,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_11,Self Regulation Pilot,1371,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-6.0,80,35,13,"[80, 81]",,1371,15,1371,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$15<br>today</font></center></div><div id = 'option'><center><font color='green'>$35<br>13 days</font></center></div></div></div></div>,66931,stim,11,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_12,Self Regulation Pilot,1648,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-7.0,80,60,14,"[80, 81]",,1648,25,1648,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$25<br>today</font></center></div><div id = 'option'><center><font color='green'>$60<br>14 days</font></center></div></div></div></div>,69589,stim,12,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_13,Self Regulation Pilot,2620,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-8.0,81,80,192,"[80, 81]",,2620,78,2620,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$78<br>today</font></center></div><div id = 'option'><center><font color='green'>$80<br>192 days</font></center></div></div></div></div>,73217,stim,13,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
kirby_0_14,Self Regulation Pilot,1308,,,test,kirby,2016-04-08T17:28:06.852787Z,,,0.0-5.0-9.0,80,55,62,"[80, 81]",,1308,40,1308,<div class = centerbox id='container'><p class = center-block-text>Please select the option that you would prefer pressing <strong>'q'</strong> for left <strong>'p'</strong> for right:</p><div class='table'><div class='row'><div id = 'option'><center><font color='green'>$40<br>today</font></center></div><div id = 'option'><center><font color='green'>$55<br>62 days</font></center></div></div></div></div>,75539,stim,14,poldrack-single-stim,,175c923b-6b6e-4fc1-9e17-4f912faaaa3a
